"name","essround","edition","proddate","idno","cntry","dweight","pspwght","pweight","anweight","prob","stratum","psu","netuse","netusoft","netustm","nwspol","nwsppol","nwsptot","pplfair","pplhlp","ppltrst","rdpol","rdtot","tvpol","tvtot","lrscale","trstlgl","trstplt","prtvtgb","prtvtagb","prtvtbgb","prtvtcgb","prtvtdgb","aesfdrk","atchctr","atcherp","blgetmg","brghmwr","brncntr","cntbrthd","ctzcntr","dscrgrp","rlgdngb","rlgdegb","hhmmb","gndr","gndr2","yrbrn","age","agea","agegroup","edlvgb","edlvagb","marstgb","rshpsgb","ipstrgv","ipstrgva","region","regiongb"
"ESS1e06_7",1,"6.7","23.11.2023",100102,"GB",0.5256,0.9727906,2.3268416,2.2635295,,,,7,,,,2,2,7,7,7,3,4,0,2,3,8,7,2,,,,,2,,,2,,1,,1,2,,,1,1,6,1970,,32,,4,,,,2,,,8
"ESS1e06_7",1,"6.7","23.11.2023",100104,"GB",1.0512,1.6558006,2.3268416,3.8527856,,,,1,,,,0,2,7,6,7,0,7,2,7,5,6,6,66,,,,,3,,,2,,1,,1,2,,,2,2,2,1983,,19,,1,,,,,,,8
"ESS1e06_7",1,"6.7","23.11.2023",100106,"GB",0.5256,0.88928574,2.3268416,2.069227,,,,0,,,,66,0,4,0,2,0,2,2,6,6,4,1,66,,,,,4,,,2,,1,,1,2,,,1,2,6,1938,,64,,0,,,,2,,,8
"ESS1e06_7",1,"6.7","23.11.2023",100110,"GB",1.0512,1.9455812,2.3268416,4.527059,,,,7,,,,0,1,4,6,4,1,2,1,5,7,7,4,66,,,,,2,,,2,,2,,1,2,,,2,1,2,1974,,28,,4,,,,2,,,8
"ESS1e06_7",1,"6.7","23.11.2023",100112,"GB",1.0512,1.6558006,2.3268416,3.8527856,,,,7,,,,66,0,5,4,6,2,3,2,5,5,4,3,3,,,,,1,,,2,,1,,1,2,,,2,2,1,1973,,29,,4,,,,3,,,8
"ESS1e06_7",1,"6.7","23.11.2023",100114,"GB",0.5256,0.88928574,2.3268416,2.069227,,,,0,,,,1,1,5,6,5,2,4,2,2,5,2,3,1,,,,,2,,,2,,1,,1,2,,,1,2,6,1937,,65,,0,,,,2,,,8
"ESS1e06_7",1,"6.7","23.11.2023",100115,"GB",1.0512,1.6558006,2.3268416,3.8527856,,,,6,,,,66,0,4,6,4,1,3,2,5,8,6,2,66,,,,,2,,,2,,1,,1,2,,,4,2,1,1972,,30,,4,,,,3,,,8
"ESS1e06_7",1,"6.7","23.11.2023",100117,"GB",1.0512,1.5430702,2.3268416,3.5904799,,,,1,,,,0,1,6,6,4,0,2,2,5,5,5,4,66,,,,,2,,,2,,1,,1,2,,,4,2,1,1967,,35,,0,,,,2,,,8
"ESS1e06_7",1,"6.7","23.11.2023",100118,"GB",1.0512,1.4326712,2.3268416,3.3335989,,,,0,,,,66,0,0,2,2,66,0,0,2,88,0,0,66,,,,,3,,,2,,1,,1,2,,,2,1,2,1920,,82,,0,,,,,,,8
"ESS1e06_7",1,"6.7","23.11.2023",100119,"GB",1.0512,1.4326712,2.3268416,3.3335989,,,,1,,,,2,7,5,2,3,5,7,1,4,3,1,3,66,,,,,4,,,2,,1,,1,2,,,2,1,2,1947,,55,,3,,,,,,,8
"ESS1e06_7",1,"6.7","23.11.2023",100122,"GB",1.0512,1.6322713,2.3268416,3.7980368,,,,7,,,,66,0,5,5,2,1,7,1,7,0,6,0,66,,,,,1,,,2,,1,,1,2,,,1,1,6,1948,,54,,0,,,,,,,8
"ESS1e06_7",1,"6.7","23.11.2023",100124,"GB",0.5256,0.7715351,2.3268416,1.7952399,,,,0,,,,0,1,3,2,3,66,0,1,6,88,6,0,66,,,,,3,,,2,,2,,1,2,,,3,2,1,1963,,39,,0,,,,,,,8
"ESS1e06_7",1,"6.7","23.11.2023",100205,"GB",0.5256,0.9727906,2.3268416,2.2635295,,,,7,,,,1,1,3,1,2,1,7,1,1,5,4,2,1,,,,,3,,,2,,1,,1,1,,,1,1,6,1973,,29,,1,,,,4,,,8
"ESS1e06_7",1,"6.7","23.11.2023",100206,"GB",1.5768,2.483701,2.3268416,5.7791786,,,,6,,,,1,2,3,3,3,2,7,0,3,1,5,4,2,,,,,4,,,2,,1,,1,1,,,3,2,2,1976,,26,,4,,,,1,,,8
"ESS1e06_7",1,"6.7","23.11.2023",100207,"GB",0.5256,0.9727906,2.3268416,2.2635295,,,,7,,,,1,1,4,5,5,1,2,2,2,5,7,6,66,,,,,3,,,1,,1,,1,2,,,5,1,2,1984,,18,,2,,,,2,,,8
"ESS1e06_7",1,"6.7","23.11.2023",100211,"GB",1.0512,1.7785715,2.3268416,4.138454,,,,0,,,,1,2,5,5,5,1,6,3,7,8,1,0,1,,,,,4,,,2,,1,,1,1,,,2,2,1,1931,,71,,0,,,,,,,8
"ESS1e06_7",1,"6.7","23.11.2023",100215,"GB",1.0512,1.6322713,2.3268416,3.7980368,,,,7,,,,2,2,5,4,7,7,7,7,7,5,6,6,2,,,,,3,,,1,,2,,2,1,,,3,1,2,1957,,45,,5,,,,2,,,8
"ESS1e06_7",1,"6.7","23.11.2023",100216,"GB",1.5768,2.3146055,2.3268416,5.3857203,,,,2,,,,66,0,5,1,5,2,2,3,4,4,2,1,2,,,,,3,,,2,,1,,1,1,,,3,2,1,1950,,52,,4,,,,2,,,8
"ESS1e06_7",1,"6.7","23.11.2023",100217,"GB",0.5256,0.88928574,2.3268416,2.069227,,,,0,,,,66,0,3,2,0,66,0,2,3,5,3,3,1,,,,,3,,,2,,2,,1,2,,,1,2,6,1934,,68,,2,,,,,,,8
"ESS1e06_7",1,"6.7","23.11.2023",100219,"GB",1.0512,1.6558006,2.3268416,3.8527856,,,,1,,,,0,1,3,5,3,0,3,2,7,0,5,3,2,,,,,2,,,1,,1,,1,2,,,5,2,1,1969,,33,,4,,,,1,,,8
